Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,Emergency,146.52,,0.6,,88.5,88.5,23,NN,FM,5,,Emergency,,,,
1,FRS 1,462.5625,,0,,88.5,88.5,23,NN,FM,5,,FRS 1,,,,
2,FRS 2,462.5875,,0,,88.5,88.5,23,NN,FM,5,,FRS 2,,,,
3,FRS 3/AmRRON,462.6125,,0,,88.5,88.5,23,NN,FM,5,,FRS 3/AmRRON,,,,
4,FRS 4,462.6375,,0,,88.5,88.5,23,NN,FM,5,,FRS 4,,,,
5,FRS 5,462.6625,,0,,88.5,88.5,23,NN,FM,5,,FRS 5,,,,
6,FRS 6,462.6875,,0,,88.5,88.5,23,NN,FM,5,,FRS 6,,,,
7,FRS 7/Airshow,467.7125,,0,,88.5,88.5,23,NN,FM,5,,FRS 7/Airshow,,,,
8,FRS 8,467.5625,,0,,88.5,88.5,23,NN,FM,5,,FRS 8,,,,
9,FRS 9,467.5875,,0,,88.5,88.5,23,NN,FM,5,,FRS 9,,,,
10,FRS 10,467.6125,,0,,88.5,88.5,23,NN,FM,5,,FRS 10,,,,
11,FRS 11/Birders,467.6375,,0,Tone,141.3,88.5,23,NN,FM,5,,FRS 11/Birders,,,,
12,FRS 12,467.6625,,0,,88.5,88.5,23,NN,FM,5,,FRS 12,,,,
13,FRS 13,467.6875,,0,,88.5,88.5,23,NN,FM,5,,FRS 13,,,,
14,FRS 14/Airshow,467.7125,,0,,88.5,88.5,23,NN,FM,5,,FRS 14/Airshow,,,,
15,FRS 15,462.55,,0,,88.5,88.5,23,NN,FM,5,,FRS 15,,,,
16,FRS 16/White Dot,462.575,,0,,88.5,88.5,23,NN,FM,5,,FRS 16/White Dot,,,,
17,FRS 17,462.6,,0,,88.5,88.5,23,NN,FM,5,,FRS 17,,,,
18,FRS 18/Black Dot,462.625,,0,,88.5,88.5,23,NN,FM,5,,FRS 18/Black Dot,,,,
19,FRS 19,462.65,,0,,88.5,88.5,23,NN,FM,5,,FRS 19,,,,
20,FRS 20/Travelers/Orange Dot,462.675,,0,,88.5,88.5,23,NN,FM,5,,FRS 20/Travelers/Orange Dot,,,,
21,FRS 21,462.7,,0,,88.5,88.5,23,NN,FM,5,,FRS 21,,,,
22,FRS 22,462.725,,0,,88.5,88.5,23,NN,FM,5,,FRS 22,,,,
23,GMRS repeater,467.55,,0,,88.5,88.5,23,NN,FM,5,,GMRS repeater,,,,
24,GMRS repeater,467.575,,0,,88.5,88.5,23,NN,FM,5,,GMRS repeater,,,,
25,GMRS repeater,467.6,,0,,88.5,88.5,23,NN,FM,5,,GMRS repeater,,,,
26,GMRS repeater,467.625,,0,,88.5,88.5,23,NN,FM,5,,GMRS repeater,,,,
27,GMRS repeater,467.65,,0,,88.5,88.5,23,NN,FM,5,,GMRS repeater,,,,
28,GMRS repeater,467.675,,0,,88.5,88.5,23,NN,FM,5,,GMRS repeater,,,,
29,GMRS repeater,467.7,,0,,88.5,88.5,23,NN,FM,5,,GMRS repeater,,,,
30,GMRS repeater,467.725,,0,,88.5,88.5,23,NN,FM,5,,GMRS repeater,,,,
31,MURS 1,151.82,,0,,88.5,88.5,23,NN,FM,5,,MURS 1,,,,
32,MURS 2,151.88,,0,,88.5,88.5,23,NN,FM,5,,MURS 2,,,,
33,MURS 3,151.94,,0,,88.5,88.5,23,NN,FM,5,,MURS 3,,,,
34,Blue Dot,154.57,,0,,88.5,88.5,23,NN,FM,5,,Blue Dot,,,,
35,Green Dot,154.6,,0,,88.5,88.5,23,NN,FM,5,,Green Dot,,,,
36,Red Dot,151.625,,0,,88.5,88.5,23,NN,FM,5,,Red Dot,,,,
37,Purple Dot,151.955,,0,,88.5,88.5,23,NN,FM,5,,Purple Dot,,,,
38,Brown Dot,464.5,,0,,88.5,88.5,23,NN,FM,5,,Brown Dot,,,,
39,Yellow Dot,464.55,,0,,88.5,88.5,23,NN,FM,5,,Yellow Dot,,,,
40,J Dot,467.7625,,0,,88.5,88.5,23,NN,FM,5,,J Dot,,,,
41,K Dot,467.8125,,0,,88.5,88.5,23,NN,FM,5,,K Dot,,,,
42,Silver Star,467.85,,0,,88.5,88.5,23,NN,FM,5,,Silver Star,,,,
43,Gold Star,467.875,,0,,88.5,88.5,23,NN,FM,5,,Gold Star,,,,
44,Red Star,467.9,,0,,88.5,88.5,23,NN,FM,5,,Red Star,,,,
45,Blue Star,467.925,,0,,88.5,88.5,23,NN,FM,5,,Blue Star,,,,
46,K9CU/W9SEH,146.76,-,0.6,,88.5,88.5,23,NN,FM,5,,K9CU/W9SEH,,,,
47,W9YR D-Star,443.48125,+,5,,88.5,88.5,23,NN,FM,5,,W9YR D-Star,,,,
48,K9CW,147.06,+,0.6,,88.5,88.5,23,NN,FM,5,,K9CW,,,,
49,K9SI,444.1,+,5,,88.5,88.5,23,NN,FM,5,,K9SI,,,,
50,W9YH,444.525,+,5,,88.5,88.5,23,NN,FM,5,,W9YH,,,,
51,NOAA,162.4,,0,,88.5,88.5,23,NN,FM,5,,NOAA,,,,
52,NOAA,162.425,,0,,88.5,88.5,23,NN,FM,5,,NOAA,,,,
53,NOAA,162.45,,0,,88.5,88.5,23,NN,FM,5,,NOAA,,,,
54,NOAA,162.475,,0,,88.5,88.5,23,NN,FM,5,,NOAA,,,,
55,NOAA,162.5,,0,,88.5,88.5,23,NN,FM,5,,NOAA,,,,
56,NOAA,162.525,,0,,88.5,88.5,23,NN,FM,5,,NOAA,,,,
57,NOAA,162.55,,0,,88.5,88.5,23,NN,FM,5,,NOAA,,,,
58,"Maritime 01A Port Operations and Commercial, VTS. Available only in New Orleans / Lower Mississippi area.",156.05,,0,,88.5,88.5,23,NN,FM,5,,"Maritime 01A Port Operations and Commercial, VTS. Available only in New Orleans / Lower Mississippi area.",,,,
59,"Maritime 05A Port Operations or VTS in the Houston, New Orleans and Seattle areas.",156.25,,0,,88.5,88.5,23,NN,FM,5,,"Maritime 05A Port Operations or VTS in the Houston, New Orleans and Seattle areas.",,,,
60,Maritime 6 Intership Safety,156.3,,0,,88.5,88.5,23,NN,FM,5,,Maritime 6 Intership Safety,,,,
61,Maritime 07A Commercial,156.35,,0,,88.5,88.5,23,NN,FM,5,,Maritime 07A Commercial,,,,
62,Maritime 8 Commercial (Intership only),156.4,,0,,88.5,88.5,23,NN,FM,5,,Maritime 8 Commercial (Intership only),,,,
63,Maritime 9 Boater Calling. Commercial and Non-Commercial.,156.45,,0,,88.5,88.5,23,NN,FM,5,,Maritime 9 Boater Calling. Commercial and Non-Commercial.,,,,
64,Maritime 10 Commercial,156.5,,0,,88.5,88.5,23,NN,FM,5,,Maritime 10 Commercial,,,,
65,Maritime 11 Commercial. VTS in selected areas.,156.55,,0,,88.5,88.5,23,NN,FM,5,,Maritime 11 Commercial. VTS in selected areas.,,,,
66,Maritime 12 Port Operations. VTS in selected areas.,156.65,,0,,88.5,88.5,23,NN,FM,5,,Maritime 12 Port Operations. VTS in selected areas.,,,,
67,Maritime 13 Intership Navigation Safety (Bridge-to-bridge). Ships >20m length maintain a listening watch on this channel in US waters.,156.7,,0,,88.5,88.5,23,NN,FM,5,,Maritime 13 Intership Navigation Safety (Bridge-to-bridge). Ships >20m length maintain a listening watch on this channel in US waters.,,,,
68,Maritime 14 Port Operations. VTS in selected areas.,156.75,,0,,88.5,88.5,23,NN,FM,5,,Maritime 14 Port Operations. VTS in selected areas.,,,,
69,Maritime 15 Environmental (Receive only). Used by Class C EPIRBs.,156.8,,0,,88.5,88.5,23,NN,FM,5,,Maritime 15 Environmental (Receive only). Used by Class C EPIRBs.,,,,
70,"Maritime 16 International Distress, Safety and Calling. Ships required to carry radio, USCG, and most coast stations maintain a listening watch on this channel.",156.85,,0,,88.5,88.5,23,NN,FM,5,,"Maritime 16 International Distress, Safety and Calling. Ships required to carry radio, USCG, and most coast stations maintain a listening watch on this channel.",,,,
71,Maritime 17 State & local govt maritime control,156.9,,0,,88.5,88.5,23,NN,FM,5,,Maritime 17 State & local govt maritime control,,,,
72,Maritime 18A Commercial,156.95,,0,,88.5,88.5,23,NN,FM,5,,Maritime 18A Commercial,,,,
73,Maritime 19A Commercial,157,,0,,88.5,88.5,23,NN,FM,5,,Maritime 19A Commercial,,,,
74,Maritime 20 Port Operations (duplex),157.05,,0,,88.5,88.5,23,NN,FM,5,,Maritime 20 Port Operations (duplex),,,,
75,Maritime 20A Port Operations,157.1,,0,,88.5,88.5,23,NN,FM,5,,Maritime 20A Port Operations,,,,
76,Maritime 21A U.S. Coast Guard only,157.15,,0,,88.5,88.5,23,NN,FM,5,,Maritime 21A U.S. Coast Guard only,,,,
77,Maritime 22A Coast Guard Liaison and Maritime Safety Information Broadcasts. Broadcasts announced on channel 16.,157.2,,0,,88.5,88.5,23,NN,FM,5,,Maritime 22A Coast Guard Liaison and Maritime Safety Information Broadcasts. Broadcasts announced on channel 16.,,,,
78,Maritime 23A U.S. Coast Guard only,157.25,,0,,88.5,88.5,23,NN,FM,5,,Maritime 23A U.S. Coast Guard only,,,,
79,Maritime 24 Public Correspondence (Marine Operator),157.3,,0,,88.5,88.5,23,NN,FM,5,,Maritime 24 Public Correspondence (Marine Operator),,,,
80,Maritime 25 Public Correspondence (Marine Operator),157.35,,0,,88.5,88.5,23,NN,FM,5,,Maritime 25 Public Correspondence (Marine Operator),,,,
81,Maritime 26 Public Correspondence (Marine Operator),157.4,,0,,88.5,88.5,23,NN,FM,5,,Maritime 26 Public Correspondence (Marine Operator),,,,
82,Maritime 27 Public Correspondence (Marine Operator),156.175,,0,,88.5,88.5,23,NN,FM,5,,Maritime 27 Public Correspondence (Marine Operator),,,,
83,Maritime 28 Public Correspondence (Marine Operator),156.275,,0,,88.5,88.5,23,NN,FM,5,,Maritime 28 Public Correspondence (Marine Operator),,,,
84,"Maritime 63A Port Operations and Commercial, VTS. Available only in New Orleans / Lower Mississippi area.",156.325,,0,,88.5,88.5,23,NN,FM,5,,"Maritime 63A Port Operations and Commercial, VTS. Available only in New Orleans / Lower Mississippi area.",,,,
85,Maritime 65A Port Operations,156.375,,0,,88.5,88.5,23,NN,FM,5,,Maritime 65A Port Operations,,,,
86,Maritime 66A Port Operations,156.425,,0,,88.5,88.5,23,NN,FM,5,,Maritime 66A Port Operations,,,,
87,Maritime 67 Commercial. Used for Bridge-to-bridge communications in lower Mississippi River. Intership only.,156.475,,0,,88.5,88.5,23,NN,FM,5,,Maritime 67 Commercial. Used for Bridge-to-bridge communications in lower Mississippi River. Intership only.,,,,
88,Maritime 68 Non-Commercial,156.525,,0,,88.5,88.5,23,NN,FM,5,,Maritime 68 Non-Commercial,,,,
89,Maritime 69 Non-Commercial,156.575,,0,,88.5,88.5,23,NN,FM,5,,Maritime 69 Non-Commercial,,,,
90,Maritime 70 Digital Selective Calling (voice communications not allowed),156.625,,0,,88.5,88.5,23,NN,FM,5,,Maritime 70 Digital Selective Calling (voice communications not allowed),,,,
91,Maritime 71 Non-Commercial,156.675,,0,,88.5,88.5,23,NN,FM,5,,Maritime 71 Non-Commercial,,,,
92,Maritime 72 Non-Commercial (Intership only),156.725,,0,,88.5,88.5,23,NN,FM,5,,Maritime 72 Non-Commercial (Intership only),,,,
93,Maritime 73 Port Operations,156.775,,0,,88.5,88.5,23,NN,FM,5,,Maritime 73 Port Operations,,,,
94,Maritime 74 Port Operations,156.825,,0,,88.5,88.5,23,NN,FM,5,,Maritime 74 Port Operations,,,,
95,Maritime 77 Port Operations (Intership only),156.875,,0,,88.5,88.5,23,NN,FM,5,,Maritime 77 Port Operations (Intership only),,,,
96,Maritime 78A Non-Commercial,156.925,,0,,88.5,88.5,23,NN,FM,5,,Maritime 78A Non-Commercial,,,,
97,Maritime 79A Commercial. Non-Commercial in Great Lakes only,156.975,,0,,88.5,88.5,23,NN,FM,5,,Maritime 79A Commercial. Non-Commercial in Great Lakes only,,,,
98,Maritime 80A Commercial. Non-Commercial in Great Lakes only,157.025,,0,,88.5,88.5,23,NN,FM,5,,Maritime 80A Commercial. Non-Commercial in Great Lakes only,,,,
99,Maritime 81A U.S. Government only – Environmental protection operations.,157.075,,0,,88.5,88.5,23,NN,FM,5,,Maritime 81A U.S. Government only – Environmental protection operations.,,,,
100,Maritime 82A U.S. Government only,157.125,,0,,88.5,88.5,23,NN,FM,5,,Maritime 82A U.S. Government only,,,,
101,Maritime 83A U.S. Coast Guard only,157.175,,0,,88.5,88.5,23,NN,FM,5,,Maritime 83A U.S. Coast Guard only,,,,
102,Maritime 84 Public Correspondence (Marine Operator),157.225,,0,,88.5,88.5,23,NN,FM,5,,Maritime 84 Public Correspondence (Marine Operator),,,,
103,Maritime 85 Public Correspondence (Marine Operator),157.275,,0,,88.5,88.5,23,NN,FM,5,,Maritime 85 Public Correspondence (Marine Operator),,,,
104,Maritime 86 Public Correspondence (Marine Operator),157.325,,0,,88.5,88.5,23,NN,FM,5,,Maritime 86 Public Correspondence (Marine Operator),,,,
105,Maritime 87 Public Correspondence (Marine Operator),157.375,,0,,88.5,88.5,23,NN,FM,5,,Maritime 87 Public Correspondence (Marine Operator),,,,
106,"Maritime 88A Commercial, Intership only.",157.425,,0,,88.5,88.5,23,NN,FM,5,,"Maritime 88A Commercial, Intership only.",,,,
107,Maritime AIS 1 Automatic Identification System (AIS),161.975,,0,,88.5,88.5,23,NN,FM,5,,Maritime AIS 1 Automatic Identification System (AIS),,,,
108,Maritime AIS 2 Automatic Identification System (AIS),162.025,,0,,88.5,88.5,23,NN,FM,5,,Maritime AIS 2 Automatic Identification System (AIS),,,,
109,Emergency (Law Enforcement),155.475,,0,,88.5,88.5,23,NN,FM,5,,Emergency (Law Enforcement),,,,
